제목,레벨,정답률,완료한 사람,링크
조건별로 분류하여 주문상태 출력하기,3,87.0,14928,https://school.programmers.co.kr/learn/courses/30/lessons/131113
상품 별 오프라인 매출 구하기,2,87.0,25193,https://school.programmers.co.kr/learn/courses/30/lessons/131533
카테고리 별 도서 판매량 집계하기,3,87.0,19435,https://school.programmers.co.kr/learn/courses/30/lessons/144855
대여 기록이 존재하는 자동차 리스트 구하기,3,87.0,13026,https://school.programmers.co.kr/learn/courses/30/lessons/157341
날짜 비교하기,0,87.0,12021,https://school.programmers.co.kr/learn/courses/30/lessons/181838
"빈 배열에 추가, 삭제하기",0,87.0,11483,https://school.programmers.co.kr/learn/courses/30/lessons/181860
수열과 구간 쿼리 1,0,87.0,12342,https://school.programmers.co.kr/learn/courses/30/lessons/181883
글자 지우기,0,87.0,14032,https://school.programmers.co.kr/learn/courses/30/lessons/181900
배열 만들기 5,0,87.0,14865,https://school.programmers.co.kr/learn/courses/30/lessons/181912
등차수열의 특정한 항만 더하기,0,87.0,24191,https://school.programmers.co.kr/learn/courses/30/lessons/181931
문자열 섞기,0,87.0,35123,https://school.programmers.co.kr/learn/courses/30/lessons/181942
없는 숫자 더하기,1,87.0,57922,https://school.programmers.co.kr/learn/courses/30/lessons/86051
이차원 배열 대각선 순회하기,0,87.0,11163,https://school.programmers.co.kr/learn/courses/30/lessons/181829
나누어 떨어지는 숫자 배열,1,86.0,62654,https://school.programmers.co.kr/learn/courses/30/lessons/12910
서울에서 김서방 찾기,1,86.0,68432,https://school.programmers.co.kr/learn/courses/30/lessons/12919
콜라츠 추측,1,86.0,59858,https://school.programmers.co.kr/learn/courses/30/lessons/12943
있었는데요 없었습니다,3,86.0,54085,https://school.programmers.co.kr/learn/courses/30/lessons/59043
오랜 기간 보호한 동물(2),3,86.0,37136,https://school.programmers.co.kr/learn/courses/30/lessons/59411
모스부호 (1),0,86.0,22464,https://school.programmers.co.kr/learn/courses/30/lessons/120838
2차원으로 만들기,0,86.0,21554,https://school.programmers.co.kr/learn/courses/30/lessons/120842
A로 B 만들기,0,86.0,20021,https://school.programmers.co.kr/learn/courses/30/lessons/120886
k의 개수,0,86.0,19360,https://school.programmers.co.kr/learn/courses/30/lessons/120887
조건에 맞는 도서 리스트 출력하기,1,86.0,29929,https://school.programmers.co.kr/learn/courses/30/lessons/144853
조건에 맞는 사용자와 총 거래금액 조회하기,3,86.0,16981,https://school.programmers.co.kr/learn/courses/30/lessons/164668
배열의 길이를 2의 거듭제곱으로 만들기,0,86.0,10509,https://school.programmers.co.kr/learn/courses/30/lessons/181857
문자열이 몇 번 등장하는지 세기,0,86.0,11747,https://school.programmers.co.kr/learn/courses/30/lessons/181871
특정 문자열로 끝나는 가장 긴 부분 문자열 찾기,0,86.0,11575,https://school.programmers.co.kr/learn/courses/30/lessons/181872
1로 만들기,0,86.0,12950,https://school.programmers.co.kr/learn/courses/30/lessons/181880
문자열 뒤집기,0,86.0,14578,https://school.programmers.co.kr/learn/courses/30/lessons/181905
수열과 구간 쿼리 3,0,86.0,19481,https://school.programmers.co.kr/learn/courses/30/lessons/181924
가운데 글자 가져오기,1,85.0,72295,https://school.programmers.co.kr/learn/courses/30/lessons/12903
제일 작은 수 제거하기,1,85.0,55583,https://school.programmers.co.kr/learn/courses/30/lessons/12935
핸드폰 번호 가리기,1,85.0,66198,https://school.programmers.co.kr/learn/courses/30/lessons/12948
보호소에서 중성화한 동물,4,85.0,44493,https://school.programmers.co.kr/learn/courses/30/lessons/59045
내적,1,85.0,56602,https://school.programmers.co.kr/learn/courses/30/lessons/70128
진료순서 정하기,0,85.0,22456,https://school.programmers.co.kr/learn/courses/30/lessons/120835
팩토리얼,0,85.0,21450,https://school.programmers.co.kr/learn/courses/30/lessons/120848
숨어있는 숫자의 덧셈 (2),0,85.0,17343,https://school.programmers.co.kr/learn/courses/30/lessons/120864
가까운 수,0,85.0,19383,https://school.programmers.co.kr/learn/courses/30/lessons/120890
한 번만 등장한 문자,0,85.0,19701,https://school.programmers.co.kr/learn/courses/30/lessons/120896
7의 개수,0,85.0,22110,https://school.programmers.co.kr/learn/courses/30/lessons/120912
3월에 태어난 여성 회원 목록 출력하기,2,85.0,34163,https://school.programmers.co.kr/learn/courses/30/lessons/131120
문자열 묶기,0,85.0,10616,https://school.programmers.co.kr/learn/courses/30/lessons/181855
세 개의 구분자,0,85.0,10832,https://school.programmers.co.kr/learn/courses/30/lessons/181862
2의 영역,0,85.0,12536,https://school.programmers.co.kr/learn/courses/30/lessons/181894
리스트 자르기,0,85.0,12675,https://school.programmers.co.kr/learn/courses/30/lessons/181897
간단한 논리 연산,0,85.0,16543,https://school.programmers.co.kr/learn/courses/30/lessons/181917
문자열 반복해서 출력하기,0,85.0,58771,https://school.programmers.co.kr/learn/courses/30/lessons/181950
식품분류별 가장 비싼 식품의 정보 조회하기,4,85.0,15055,https://school.programmers.co.kr/learn/courses/30/lessons/131116
수박수박수박수박수박수?,1,84.0,68642,https://school.programmers.co.kr/learn/courses/30/lessons/12922
루시와 엘라 찾기,2,84.0,46716,https://school.programmers.co.kr/learn/courses/30/lessons/59046
약수의 개수와 덧셈,1,84.0,45830,https://school.programmers.co.kr/learn/courses/30/lessons/77884
컨트롤 제트,0,84.0,19879,https://school.programmers.co.kr/learn/courses/30/lessons/120853
5월 식품들의 총매출 조회하기,4,84.0,17052,https://school.programmers.co.kr/learn/courses/30/lessons/131117
즐겨찾기가 가장 많은 식당 정보 출력하기,3,84.0,19755,https://school.programmers.co.kr/learn/courses/30/lessons/131123
가격대 별 상품 개수 구하기,2,84.0,19724,https://school.programmers.co.kr/learn/courses/30/lessons/131530
과일로 만든 아이스크림 고르기,1,84.0,31622,https://school.programmers.co.kr/learn/courses/30/lessons/133025
커피 심부름,0,84.0,11462,https://school.programmers.co.kr/learn/courses/30/lessons/181837
조건에 맞게 수열 변환하기 2,0,84.0,10497,https://school.programmers.co.kr/learn/courses/30/lessons/181881
qr code,0,84.0,14209,https://school.programmers.co.kr/learn/courses/30/lessons/181903
수열과 구간 쿼리 4,0,84.0,16171,https://school.programmers.co.kr/learn/courses/30/lessons/181922
