제목,레벨,정답률,완료한 사람,링크
기둥과 보 설치,3,36.0,6406,https://school.programmers.co.kr/learn/courses/30/lessons/60061
미로 탈출 명령어,3,36.0,3987,https://school.programmers.co.kr/learn/courses/30/lessons/150365
[PCCP 기출문제] 1번 / 동영상 재생기,1,36.0,9020,https://school.programmers.co.kr/learn/courses/30/lessons/340213
택배 상자 꺼내기,1,36.0,2076,https://school.programmers.co.kr/learn/courses/30/lessons/389478
보행자 천국,3,35.0,2450,https://school.programmers.co.kr/learn/courses/30/lessons/1832
호텔 방 배정,4,35.0,4665,https://school.programmers.co.kr/learn/courses/30/lessons/64063
광고 삽입,3,35.0,4681,https://school.programmers.co.kr/learn/courses/30/lessons/72414
택배 배달과 수거하기,2,35.0,7998,https://school.programmers.co.kr/learn/courses/30/lessons/150369
비밀 코드 해독,2,35.0,1048,https://school.programmers.co.kr/learn/courses/30/lessons/388352
무지의 먹방 라이브,4,34.0,6702,https://school.programmers.co.kr/learn/courses/30/lessons/42891
순위 검색,2,34.0,9805,https://school.programmers.co.kr/learn/courses/30/lessons/72412
올바른 괄호의 갯수,4,33.0,3078,https://school.programmers.co.kr/learn/courses/30/lessons/12929
110 옮기기,3,33.0,2042,https://school.programmers.co.kr/learn/courses/30/lessons/77886
교점에 별 만들기,2,33.0,5438,https://school.programmers.co.kr/learn/courses/30/lessons/87377
쿠키 구입,4,32.0,2074,https://school.programmers.co.kr/learn/courses/30/lessons/49995
외벽 점검,3,32.0,5050,https://school.programmers.co.kr/learn/courses/30/lessons/60062
표현 가능한 이진트리,3,32.0,3823,https://school.programmers.co.kr/learn/courses/30/lessons/150367
[PCCP 기출문제] 3번 / 충돌위험 찾기,2,32.0,2484,https://school.programmers.co.kr/learn/courses/30/lessons/340211
[3차] 자동완성,4,31.0,2990,https://school.programmers.co.kr/learn/courses/30/lessons/17685
스타 수열,3,31.0,2003,https://school.programmers.co.kr/learn/courses/30/lessons/70130
3 x n 타일링,2,29.0,4857,https://school.programmers.co.kr/learn/courses/30/lessons/12902
N으로 표현,3,29.0,17756,https://school.programmers.co.kr/learn/courses/30/lessons/42895
등산코스 정하기,3,29.0,3510,https://school.programmers.co.kr/learn/courses/30/lessons/118669
카카오프렌즈 컬러링북,2,29.0,8848,https://school.programmers.co.kr/learn/courses/30/lessons/1829
완전범죄,2,29.0,1007,https://school.programmers.co.kr/learn/courses/30/lessons/389480
선입 선출 스케줄링,3,28.0,1785,https://school.programmers.co.kr/learn/courses/30/lessons/12920
징검다리,4,28.0,7394,https://school.programmers.co.kr/learn/courses/30/lessons/43236
아이템 줍기,3,28.0,6704,https://school.programmers.co.kr/learn/courses/30/lessons/87694
카운트 다운,3,28.0,1339,https://school.programmers.co.kr/learn/courses/30/lessons/131129
표 병합,3,28.0,2305,https://school.programmers.co.kr/learn/courses/30/lessons/150366
가사 검색,4,27.0,4762,https://school.programmers.co.kr/learn/courses/30/lessons/60060
블록 이동하기,3,27.0,4231,https://school.programmers.co.kr/learn/courses/30/lessons/60063
가장 많이 받은 선물,1,27.0,13420,https://school.programmers.co.kr/learn/courses/30/lessons/258712
모두 0으로 만들기,3,27.0,2169,https://school.programmers.co.kr/learn/courses/30/lessons/76503
최적의 행렬 곱셈,3,26.0,1479,https://school.programmers.co.kr/learn/courses/30/lessons/12942
2차원 동전 뒤집기,3,26.0,1176,https://school.programmers.co.kr/learn/courses/30/lessons/131703
봉인된 주문,3,26.0,531,https://school.programmers.co.kr/learn/courses/30/lessons/389481
산 모양 타일링,3,26.0,1953,https://school.programmers.co.kr/learn/courses/30/lessons/258705
코딩 테스트 공부,3,26.0,3244,https://school.programmers.co.kr/learn/courses/30/lessons/118668
단체사진 찍기,2,24.0,4884,https://school.programmers.co.kr/learn/courses/30/lessons/1835
단어 퍼즐,4,24.0,1247,https://school.programmers.co.kr/learn/courses/30/lessons/12983
등대,3,24.0,1428,https://school.programmers.co.kr/learn/courses/30/lessons/133500
유사 칸토어 비트열,2,23.0,2393,https://school.programmers.co.kr/learn/courses/30/lessons/148652
도넛과 막대 그래프,2,23.0,5016,https://school.programmers.co.kr/learn/courses/30/lessons/258711
억억단을 외우자,3,23.0,1506,https://school.programmers.co.kr/learn/courses/30/lessons/138475
[1차] 추석 트래픽,3,22.0,8041,https://school.programmers.co.kr/learn/courses/30/lessons/17676
공 이동 시뮬레이션,3,22.0,1049,https://school.programmers.co.kr/learn/courses/30/lessons/87391
당구 연습,2,22.0,3361,https://school.programmers.co.kr/learn/courses/30/lessons/169198
매칭 점수,3,21.0,2478,https://school.programmers.co.kr/learn/courses/30/lessons/42893
블록 게임,4,20.0,1828,https://school.programmers.co.kr/learn/courses/30/lessons/42894
카드 짝 맞추기,3,20.0,2233,https://school.programmers.co.kr/learn/courses/30/lessons/72415
n + 1 카드게임,3,20.0,1826,https://school.programmers.co.kr/learn/courses/30/lessons/258707
주사위 고르기,3,20.0,2607,https://school.programmers.co.kr/learn/courses/30/lessons/258709
지형 편집,4,19.0,806,https://school.programmers.co.kr/learn/courses/30/lessons/12984
동굴 탐험,4,19.0,1609,https://school.programmers.co.kr/learn/courses/30/lessons/67260
숫자 타자 대회,3,19.0,1104,https://school.programmers.co.kr/learn/courses/30/lessons/136797
멸종위기의 대장균 찾기,5,19.0,2616,https://school.programmers.co.kr/learn/courses/30/lessons/301651
[PCCP 기출문제] 4번 / 수식 복원하기,3,19.0,1114,https://school.programmers.co.kr/learn/courses/30/lessons/340210
캠핑,3,18.0,648,https://school.programmers.co.kr/learn/courses/30/lessons/1833
[PCCP 기출문제] 4번 / 수레 움직이기,3,18.0,1173,https://school.programmers.co.kr/learn/courses/30/lessons/250134
홀짝트리,3,18.0,305,https://school.programmers.co.kr/learn/courses/30/lessons/388354
사칙연산,4,17.0,2739,https://school.programmers.co.kr/learn/courses/30/lessons/1843
지형 이동,4,17.0,1668,https://school.programmers.co.kr/learn/courses/30/lessons/62050
트리 트리오 중간값,4,17.0,523,https://school.programmers.co.kr/learn/courses/30/lessons/68937
빛의 경로 사이클,2,17.0,3676,https://school.programmers.co.kr/learn/courses/30/lessons/86052
금과 은 운반하기,3,17.0,2181,https://school.programmers.co.kr/learn/courses/30/lessons/86053
리틀 프렌즈 사천성,3,16.0,909,https://school.programmers.co.kr/learn/courses/30/lessons/1836
GPS,3,15.0,779,https://school.programmers.co.kr/learn/courses/30/lessons/1837
퍼즐 조각 채우기,3,15.0,3884,https://school.programmers.co.kr/learn/courses/30/lessons/84021
사라지는 발판,3,15.0,1730,https://school.programmers.co.kr/learn/courses/30/lessons/92345
상담원 인원,3,15.0,1544,https://school.programmers.co.kr/learn/courses/30/lessons/214288
[PCCP 기출문제] 3번 / 아날로그 시계,2,15.0,2014,https://school.programmers.co.kr/learn/courses/30/lessons/250135
고고학 최고의 발견,3,13.0,642,https://school.programmers.co.kr/learn/courses/30/lessons/131702
매출 하락 최소화,4,12.0,1489,https://school.programmers.co.kr/learn/courses/30/lessons/72416
행렬과 연산,4,12.0,1062,https://school.programmers.co.kr/learn/courses/30/lessons/118670
4단 고음,4,11.0,811,https://school.programmers.co.kr/learn/courses/30/lessons/1831
쌍둥이 빌딩 숲,4,10.0,339,https://school.programmers.co.kr/learn/courses/30/lessons/140105
아방가르드 타일링,3,10.0,749,https://school.programmers.co.kr/learn/courses/30/lessons/181186
에어컨,3,10.0,1052,https://school.programmers.co.kr/learn/courses/30/lessons/214289
미로 탈출,4,9.0,959,https://school.programmers.co.kr/learn/courses/30/lessons/81304
몸짱 트레이너 라이언의 고민,3,8.0,306,https://school.programmers.co.kr/learn/courses/30/lessons/1838
튜브의 소개팅,4,7.0,247,https://school.programmers.co.kr/learn/courses/30/lessons/1839
"1,2,3 떨어트리기",4,7.0,727,https://school.programmers.co.kr/learn/courses/30/lessons/150364
방의 개수,5,6.0,2452,https://school.programmers.co.kr/learn/courses/30/lessons/49190
짝수 행 세기,4,6.0,311,https://school.programmers.co.kr/learn/courses/30/lessons/68647
경사로의 개수,4,6.0,240,https://school.programmers.co.kr/learn/courses/30/lessons/214290
시험장 나누기,5,4.0,805,https://school.programmers.co.kr/learn/courses/30/lessons/81305
가장 큰 삼각형 덩어리,4,4.0,21,https://school.programmers.co.kr/learn/courses/30/lessons/389629
격자 뒤집기 미로,4,4.0,20,https://school.programmers.co.kr/learn/courses/30/lessons/389630
브라이언의 고민,3,3.0,473,https://school.programmers.co.kr/learn/courses/30/lessons/1830
문자열의 아름다움,5,3.0,205,https://school.programmers.co.kr/learn/courses/30/lessons/68938
안티세포,4,3.0,133,https://school.programmers.co.kr/learn/courses/30/lessons/86054
재밌는 레이싱 경기장 설계하기,5,2.0,100,https://school.programmers.co.kr/learn/courses/30/lessons/214292
신비로운 유적 탐험,5,1.0,95,https://school.programmers.co.kr/learn/courses/30/lessons/1834
가짜 해밀토니안,5,1.0,98,https://school.programmers.co.kr/learn/courses/30/lessons/70132
집합과 쿼리,5,1.0,53,https://school.programmers.co.kr/learn/courses/30/lessons/214291
중요한 도로,5,1.0,49,https://school.programmers.co.kr/learn/courses/30/lessons/214293
빠른 이동,5,1.0,55,https://school.programmers.co.kr/learn/courses/30/lessons/214294
스마트한 프로도,5,0.0,42,https://school.programmers.co.kr/learn/courses/30/lessons/1840
IU와 콘의 보드게임,5,0.0,31,https://school.programmers.co.kr/learn/courses/30/lessons/1841
네오의 귀걸이,5,0.0,44,https://school.programmers.co.kr/learn/courses/30/lessons/1842
직사각형의 넓이,5,0.0,100,https://school.programmers.co.kr/learn/courses/30/lessons/12974
RPG와 쿼리,5,0.0,53,https://school.programmers.co.kr/learn/courses/30/lessons/76504
중력 작용,5,0.0,34,https://school.programmers.co.kr/learn/courses/30/lessons/77887
쿼리의 모음의 개수,5,0.0,28,https://school.programmers.co.kr/learn/courses/30/lessons/87394
미로 주행 테스트,5,0.0,34,https://school.programmers.co.kr/learn/courses/30/lessons/214295
눈사람 만들기,5,0.0,6,https://school.programmers.co.kr/learn/courses/30/lessons/389631
문자열과 알파벳과 쿼리,5,0.0,8,https://school.programmers.co.kr/learn/courses/30/lessons/389632
